gene
BLK
CD19
FCRL2
HLA-DOB
MS4A1
PNOC
SPIB
TCL1A
TNFRSF17
PTRPC
CTSW
GNLY
GZMA
GZMB
GZMH
KLRB1
KLRD1
KLRK1
NKG7
PRF1
CCL13
CD209
HSD11B1
LAG3
CD244
EOMES
PTGER4
CD68
CD84
CXCL5
CD163
MS4A4A
CCL7
CYBB
CPA3
MS4A2
HDC
FPR1
SIGLEC5
CSF3R
FCAR
CEACAM3
S100A12
CXCR2
LILRB2
KIR2DL3
KIR3DL1
KIR3DL2
IL21R
XCL1
XCL2
NCR1
CD2
CD28
CD3D
CD3E
CD3G
CD6
CD96
IL2RB
LCK
SH2D1A
TRAT1
ZAP70
TBX21
FOXP3
HAVCR2
CD274
CD8A
CD8B
GZMM
ICOS
CD4
CXCL13
PDCD1
IFNG
TNF
